,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
371,Malik Monk,SAC,57,32.7,31,26,1.0,0.6,3.3,1.5,2.4,64.4
372,MarJon Beauchamp,NYK,32,4.6,18,14,0.1,0.0,0.9,0.3,0.4,61.5
373,Marcus Garrett,CHA,4,19.8,1,3,0.8,0.5,1.3,0.5,0.5,100
374,Marcus Sasser,DET,50,13.4,27,23,0.6,0.1,0.8,0.6,0.8,78.9
375,Marcus Smart,WAS,29,20.6,16,13,1.2,0.3,1.6,0.4,0.8,59.1
376,Mark Williams,CHA,37,26.0,8,29,0.7,1.3,6.9,3.8,5.8,65.3
377,Markelle Fultz,SAC,13,7.4,6,7,0.5,0.1,0.4,0.5,0.7,66.7
378,Markieff Morris,LAL,14,9.4,7,7,0.1,0.1,1.1,0.6,1.0,57.1
379,Marvin Bagley III,MEM,26,8.3,5,21,0.3,0.3,1.3,0.7,1.3,52.9
380,Mason Jones,SAC,9,4.8,4,5,0.0,0.1,0.7,0.0,0.2,0.0
381,Mason Plumlee,PHX,68,17.7,32,36,0.4,0.6,4.6,2.3,3.8,59.8
382,Matas Buzelis,CHI,68,17.2,30,38,0.3,0.9,2.4,2.1,3.4,61.8
383,Matisse Thybulle,POR,5,15.2,4,1,2.2,0.6,2.8,0.6,0.6,100
384,Matt Ryan,NYK,19,3.6,14,5,0.1,0.0,0.4,0.2,0.3,60.0
385,Max Christie,DAL,67,27.3,35,32,0.8,0.4,2.8,2.0,3.0,67.2
386,Max Strus,CLE,42,25.0,32,10,0.6,0.2,3.3,1.4,2.0,70.7
387,Maxi Kleber,LAL,34,18.7,18,16,0.3,0.5,2.1,1.9,2.7,68.8
388,Maxwell Lewis,BKN,18,8.1,6,12,0.3,0.1,0.8,0.6,0.7,76.9
389,Micah Potter,UTA,33,17.7,9,24,0.3,0.3,3.0,2.1,3.4,61.9
390,Michael Porter Jr.,DEN,69,33.6,42,27,0.7,0.4,5.1,2.3,3.5,66.7
391,Mikal Bridges,NYK,70,37.6,44,26,1.0,0.5,2.3,1.7,2.9,61.0
392,Mike Conley,MIN,61,24.7,36,25,1.2,0.2,2.1,1.1,1.4,79.5
393,Miles Bridges,CHA,55,32.2,14,41,0.7,0.7,6.6,1.9,3.3,58.5
394,Miles McBride,NYK,59,24.9,37,22,0.9,0.3,1.8,1.4,2.2,66.1
395,Miles Norris,BOS,1,4.0,1,0,0.0,0.0,2.0,0.0,0.0,0.0
396,Mitchell Robinson,NYK,10,16.3,6,4,1.0,0.9,2.5,2.0,3.1,64.5
397,Mo Bamba,NOP,31,12.8,19,12,0.3,1.0,3.6,1.5,2.9,53.9
398,Monté Morris,PHX,41,12.9,21,20,0.4,0.1,1.2,0.6,0.8,70.6
399,Moritz Wagner,ORL,30,18.8,18,12,0.8,0.4,3.6,1.4,2.3,60.9
400,Moses Brown,DAL,13,9.1,5,8,0.5,0.3,2.5,1.6,2.8,58.3
401,Moses Moody,GSW,61,21.5,37,24,0.7,0.4,1.8,1.3,2.0,63.7
402,Mouhamed Gueye,ATL,22,15.9,9,13,0.9,1.0,2.5,0.9,1.5,58.8
403,Moussa Diabaté,CHA,61,17.5,13,48,0.7,0.6,3.5,2.3,3.7,62.4
404,Myles Turner,IND,61,30.6,36,25,0.8,1.9,5.3,4.4,7.5,58.0
405,N'Faly Dante,HOU,1,18.6,0,1,0.0,2.0,5.0,1.0,3.0,33.3
406,Nae'Qwan Tomlin,CLE,3,4.8,3,0,0.0,0.0,1.7,0.3,1.0,33.3
407,Naji Marshall,DAL,58,26.9,27,31,1.1,0.2,3.7,1.7,2.4,70.7
408,Nate Williams,HOU,13,6.1,10,3,0.3,0.2,0.5,0.3,0.5,57.1
409,Naz Reid,MIN,71,27.9,40,31,0.8,1.0,5.0,2.5,4.0,61.1
410,Neemias Queta,BOS,53,14.0,39,14,0.3,0.7,2.4,1.9,3.2,60.1
411,Nic Claxton,BKN,61,27.4,18,43,0.9,1.4,5.3,3.1,5.1,59.7
412,Nick Richards,PHX,49,22.0,16,33,0.2,1.1,5.9,3.3,5.9,55.0
413,Nick Smith Jr.,CHA,51,22.4,12,39,0.3,0.1,1.8,1.2,1.5,80.5
414,Nickeil Alexander-Walker,MIN,72,25.1,41,31,0.6,0.4,2.6,1.8,2.5,72.8
415,Nicolas Batum,LAC,69,17.8,39,30,0.7,0.5,2.2,1.2,2.0,57.9
416,Nikola Jokić,DEN,62,36.5,41,21,1.8,0.7,10.0,4.8,6.9,69.2
417,Nikola Jović,MIA,46,25.1,21,25,0.8,0.3,3.3,2.0,3.2,63.3
418,Nikola Vučević,CHI,63,31.7,26,37,0.8,0.7,7.8,4.4,6.4,68.8
419,Noah Clowney,BKN,42,22.7,10,32,0.5,0.5,2.9,2.1,3.5,58.8
420,Norman Powell,LAC,50,32.4,30,20,1.3,0.2,3.0,1.2,1.5,75.3
421,OG Anunoby,NYK,64,36.6,39,25,1.5,0.9,3.5,1.8,2.9,61.8
422,Obi Toppin,IND,66,19.5,39,27,0.6,0.3,3.3,1.6,2.4,67.9
423,Ochai Agbaji,TOR,57,27.0,15,42,0.8,0.5,2.8,1.7,2.8,60.5
424,Olivier-Maxence Prosper,DAL,52,11.2,27,25,0.5,0.1,1.6,0.9,1.3,65.2
425,Onyeka Okongwu,ATL,63,26.8,30,33,0.9,1.0,5.6,2.8,4.7,59.9
426,Orlando Robinson,TOR,34,15.9,17,17,0.4,0.3,2.7,1.9,3.4,56.0
427,Oscar Tshiebwe,UTA,8,14.8,2,6,0.8,0.0,5.5,1.1,1.5,75.0
428,Oshae Brissett,PHI,6,23.7,1,5,0.7,0.5,2.5,1.8,2.5,73.3
429,Oso Ighodaro,PHX,50,15.7,23,27,0.4,0.4,2.6,1.7,3.1,54.8
430,Ousmane Dieng,OKC,36,11.0,29,7,0.5,0.2,1.7,0.7,0.9,72.7
431,P.J. Tucker,NYK,1,1.8,0,1,0.0,0.0,0.0,0.0,0.0,0.0
432,P.J. Washington,DAL,50,32.5,28,22,1.2,1.1,6.5,2.7,4.6,59.0
433,PJ Dozier,MIN,9,3.9,7,2,0.1,0.0,0.4,0.4,0.6,80.0
434,PJ Hall,DEN,18,3.4,11,7,0.0,0.2,0.8,0.2,0.4,42.9
435,Pacome Dadiet,NYK,15,6.5,11,4,0.2,0.1,0.9,0.3,0.5,50.0
436,Paolo Banchero,ORL,36,34.1,13,23,0.8,0.7,6.1,2.9,4.2,69.1
437,Pascal Siakam,IND,68,33.0,40,28,0.9,0.5,5.4,2.7,4.1,64.9
438,Pat Connaughton,MIL,34,13.9,14,20,0.2,0.3,2.0,0.6,1.0,60.0
439,Pat Spencer,GSW,31,6.8,18,13,0.4,0.1,0.9,0.6,0.6,94.7
440,Patrick Baldwin Jr.,LAC,22,4.6,1,21,0.1,0.1,0.8,0.4,0.5,66.7
441,Patrick Williams,CHI,52,25.5,23,29,0.8,0.6,3.1,2.2,3.1,70.4
442,Patty Mills,LAC,25,11.9,8,17,0.5,0.1,0.7,0.4,0.6,78.6
443,Paul George,PHI,41,32.5,15,26,1.8,0.5,4.8,2.2,3.3,66.7
444,Paul Reed,DET,38,9.2,20,18,0.9,0.5,1.7,1.1,1.9,59.7
445,Payton Pritchard,BOS,68,28.3,49,19,0.9,0.2,2.4,1.0,1.4,74.7
446,Pelle Larsson,MIA,47,12.6,18,29,0.4,0.1,1.0,0.9,1.2,76.4
447,Pete Nance,MIL,9,8.6,5,4,0.1,0.0,0.9,0.7,0.8,85.7
448,Peyton Watson,DEN,59,23.6,35,24,0.8,1.2,2.6,1.6,2.8,56.4
449,Precious Achiuwa,NYK,47,20.5,30,17,0.8,0.7,3.7,2.2,3.7,61.0
450,Quentin Grimes,PHI,67,25.9,28,39,1.0,0.3,3.4,1.6,2.6,60.8
451,Quenton Jackson,IND,22,13.3,11,11,0.5,0.2,1.0,0.5,0.7,62.5
452,Quincy Olivari,LAL,2,5.2,1,1,0.0,0.0,0.0,0.5,0.5,100
453,Quinten Post,GSW,31,16.8,19,12,0.5,0.5,2.9,1.8,3.1,57.7
454,RJ Barrett,TOR,52,33.0,19,33,0.8,0.3,5.4,1.9,2.8,68.8
455,RayJ Dennis,IND,8,2.9,5,3,0.4,0.0,0.5,0.1,0.1,100
456,Rayan Rupert,POR,43,7.2,19,24,0.2,0.0,0.6,0.6,0.8,76.5
457,Reece Beekman,BKN,30,11.1,12,18,0.6,0.1,0.6,0.7,0.8,87.5
458,Reed Sheppard,HOU,45,11.9,26,19,0.6,0.3,1.0,0.8,1.1,74.5
459,Reggie Jackson,PHI,31,12.4,11,20,0.5,0.1,1.1,0.7,0.8,84.0
460,Richaun Holmes,WAS,27,17.9,7,20,0.2,0.8,3.9,1.8,3.1,57.8
461,Ricky Council IV,PHI,62,15.8,15,47,0.5,0.2,1.9,0.8,1.2,69.4
462,Riley Minix,SAS,1,6.8,0,1,0.0,0.0,2.0,0.0,0.0,0.0
463,Rob Dillingham,MIN,43,11.7,25,18,0.4,0.0,0.9,0.5,0.7,71.9
464,Robert Williams III,POR,20,17.6,7,13,0.7,1.7,4.2,1.0,2.5,40.8
465,Ronald Holland II,DET,71,15.7,40,31,0.6,0.2,2.2,0.8,1.1,72.8
466,Royce O'Neale,PHX,65,25.2,31,34,1.0,0.5,4.2,2.0,2.7,75.3
467,Rudy Gobert,MIN,62,32.7,35,27,0.8,1.5,6.8,3.0,5.7,52.1
468,Rui Hachimura,LAL,51,31.8,31,20,0.8,0.5,3.7,2.5,3.6,68.1
469,Russell Westbrook,DEN,65,28.2,38,27,1.4,0.5,3.6,1.2,1.9,65.3
470,Ryan Dunn,PHX,63,17.8,30,33,0.5,0.6,2.3,1.3,2.1,61.5
471,Ryan Rollins,MIL,45,12.3,23,22,0.7,0.4,1.2,0.7,1.3,54.2
472,Sam Hauser,BOS,59,21.4,42,17,0.6,0.2,2.5,1.1,1.6,67.0
473,Sam Merrill,CLE,62,19.2,48,14,0.7,0.2,1.6,1.0,1.4,69.3
474,Sandro Mamukelashvili,SAS,49,9.4,20,29,0.4,0.3,1.8,1.1,1.9,59.6
475,Santi Aldama,MEM,55,25.2,34,21,0.8,0.5,5.1,2.2,3.3,67.0
476,Scoot Henderson,POR,64,26.6,30,34,1.1,0.2,2.2,1.9,2.5,74.8
477,Scottie Barnes,TOR,55,33.8,21,34,1.5,1.0,6.2,2.9,4.8,61.1
478,Scotty Pippen Jr.,MEM,69,20.7,42,27,1.3,0.4,2.5,0.9,1.2,74.7
479,Seth Curry,CHA,60,14.9,16,44,0.4,0.1,1.2,0.5,0.7,82.1
480,Shaedon Sharpe,POR,64,30.7,29,35,0.8,0.2,3.3,1.6,2.4,68.9
481,Shai Gilgeous-Alexander,OKC,67,34.3,56,11,1.7,1.0,4.1,2.2,3.4,64.6
482,Shake Milton,LAL,53,14.8,27,26,0.4,0.1,1.3,0.8,0.9,82.0
483,Sidy Cissoko,POR,20,3.0,10,10,0.1,0.0,0.4,0.2,0.2,100
484,Simone Fontecchio,DET,64,17.0,34,30,0.4,0.2,2.4,0.9,1.4,66.7
485,Skal Labissiere,SAC,4,3.0,2,2,0.0,0.0,0.5,0.0,0.0,0.0
486,Spencer Dinwiddie,DAL,69,26.4,33,36,0.9,0.2,2.2,1.4,1.9,73.7
487,Spencer Jones,DEN,17,5.5,11,6,0.3,0.2,0.4,0.2,0.3,60.0
488,Stanley Umude,MIL,20,3.2,13,7,0.2,0.2,0.6,0.1,0.1,100
489,Stephen Curry,GSW,58,32.1,33,25,1.1,0.4,3.9,1.0,1.6,64.4
490,Stephon Castle,SAS,69,25.8,30,39,1.0,0.3,2.3,1.6,2.2,70.8
491,Steven Adams,HOU,51,13.1,33,18,0.3,0.5,2.6,1.3,2.3,59.1
492,Svi Mykhailiuk,UTA,28,20.2,5,23,0.6,0.2,1.9,1.4,2.0,69.6
493,T.J. McConnell,IND,66,18.3,40,26,1.1,0.3,1.9,0.8,1.1,74.6
494,Taj Gibson,CHA,28,11.0,8,20,0.3,0.4,2.0,1.3,1.9,66.0
495,Talen Horton-Tucker,CHI,49,11.2,19,30,0.3,0.2,1.4,0.6,0.8,72.5
496,Tari Eason,HOU,48,25.3,30,18,1.8,0.9,4.1,2.0,2.8,71.9
497,Taurean Prince,MIL,68,26.6,39,29,0.9,0.2,3.2,1.8,2.5,70.9
498,Taylor Hendricks,UTA,3,24.8,0,3,1.7,1.3,3.3,3.0,5.0,60.0
499,Tazé Moore,POR,2,9.9,0,2,1.0,0.0,2.0,0.5,0.5,100
500,Terance Mann,ATL,54,20.3,31,23,0.6,0.3,1.9,1.5,2.0,73.1
501,Terrence Shannon Jr.,MIN,30,11.1,20,10,0.2,0.2,1.2,0.4,0.6,57.9
502,Terry Rozier,MIA,58,26.6,24,34,0.6,0.2,3.1,1.0,1.6,62.8
503,Thomas Bryant,IND,53,15.0,35,18,0.4,0.6,2.7,2.0,3.6,57.1
504,Tidjane Salaün,CHA,48,19.2,10,38,0.5,0.3,3.1,1.4,2.1,67.0
505,Tim Hardaway Jr.,DET,66,27.7,37,29,0.5,0.1,2.2,1.2,1.6,76.4
506,Tobias Harris,DET,67,32.1,38,29,1.0,0.8,5.0,2.1,2.8,75.4
507,Tony Bradley,IND,7,5.0,6,1,0.1,0.4,0.9,0.6,0.9,66.7
508,Torrey Craig,BOS,20,10.6,12,8,0.2,0.3,1.2,0.8,1.2,65.2
509,Tosan Evbuomwan,BKN,21,23.9,7,14,0.8,0.3,2.9,1.7,2.7,61.4
510,Toumani Camara,POR,69,32.9,29,40,1.5,0.7,3.6,2.4,3.8,63.7
511,Trae Young,ATL,65,36.1,31,34,1.2,0.2,2.7,1.2,1.5,80.4
512,Trayce Jackson-Davis,GSW,53,17.0,28,25,0.4,0.7,3.3,2.0,3.4,60.3
513,Tre Jones,CHI,45,19.4,20,25,0.8,0.2,1.8,0.7,0.9,71.4
514,Tre Mann,CHA,13,24.5,6,7,0.5,0.3,2.0,1.4,2.2,62.1
515,Trendon Watford,BKN,32,19.1,13,19,0.7,0.2,2.5,1.2,1.8,67.2
516,Trentyn Flowers,LAC,2,7.9,0,2,0.0,0.0,1.5,0.5,0.5,100
517,Trevelin Queen,ORL,28,13.8,12,16,1.0,0.4,0.8,0.7,1.1,62.5
518,Trey Alexander,DEN,19,4.4,12,7,0.1,0.1,0.5,0.3,0.3,83.3
519,Trey Jemison III,LAL,31,11.2,14,17,0.3,0.5,1.7,1.1,1.8,59.6
520,Trey Lyles,SAC,57,18.6,28,29,0.6,0.4,3.4,1.6,2.4,66.9
521,Trey Murphy III,NOP,52,35.1,14,38,1.1,0.7,4.2,2.9,4.1,71.6
522,Tristan Thompson,CLE,36,7.1,30,6,0.0,0.2,2.1,0.7,1.1,61.0
523,Tristan Vukcevic,WAS,25,11.2,4,21,0.4,0.5,2.5,1.8,2.6,68.2
524,Tristan da Silva,ORL,66,22.8,30,36,0.4,0.2,2.4,1.5,2.3,64.9
525,Tristen Newton,MIN,8,2.0,2,6,0.1,0.0,0.3,0.0,0.1,0.0
526,Ty Jerome,CLE,66,19.7,53,13,1.2,0.0,1.8,0.9,1.1,84.3
527,TyTy Washington Jr.,PHX,13,7.9,3,10,0.2,0.0,0.6,0.5,0.6,75.0
528,Tyler Herro,MIA,67,35.6,30,37,0.9,0.2,4.8,1.7,2.6,68.0
529,Tyler Kolek,NYK,34,5.2,22,12,0.3,0.0,0.4,0.2,0.2,75.0
530,Tyler Smith,MIL,19,4.6,10,9,0.1,0.2,0.8,0.5,0.8,60.0
531,Tyrese Haliburton,IND,63,33.9,38,25,1.5,0.6,3.0,1.6,2.3,69.0
532,Tyrese Martin,BKN,52,21.7,14,38,0.6,0.1,2.6,1.3,2.0,65.7
533,Tyrese Maxey,PHI,52,37.7,20,32,1.8,0.4,3.1,1.2,1.6,73.2
534,Tyus Jones,PHX,70,27.9,34,36,0.9,0.1,1.9,0.9,1.1,82.9
535,Ulrich Chomche,TOR,7,4.6,3,4,0.0,0.1,0.6,0.6,0.9,66.7
536,Vasilije Micić,PHX,38,20.3,8,30,0.4,0.0,1.8,1.1,1.3,82.0
537,Victor Wembanyama,SAS,46,33.2,21,25,1.1,3.8,9.2,4.1,8.1,50.0
538,Vince Williams Jr.,MEM,19,18.6,7,12,0.6,0.3,2.8,1.8,2.2,83.3
539,Vlatko Čančar,DEN,10,9.4,2,8,0.1,0.1,2.0,0.6,1.0,60.0
540,Vít Krejčí,ATL,46,20.6,23,23,0.7,0.5,2.2,1.5,2.2,68.7
541,Walker Kessler,UTA,54,30.1,14,40,0.6,2.4,7.7,4.1,7.4,55.2
542,Wendell Carter Jr.,ORL,57,25.8,23,34,0.7,0.5,5.3,2.3,3.9,58.5
543,Wendell Moore Jr.,CHA,31,13.3,10,21,0.5,0.1,1.8,1.0,1.2,83.3
544,Xavier Tillman,BOS,29,7.1,23,6,0.3,0.2,1.0,0.7,1.0,70.0
545,Yuki Kawamura,MEM,20,3.2,16,4,0.1,0.0,0.4,0.3,0.3,83.3
546,Yuri Collins,GSW,2,8.2,2,0,1.0,0.0,0.5,1.0,1.0,100
547,Yves Missi,NOP,65,26.9,17,48,0.5,1.4,4.6,3.9,6.4,61.5
548,Zaccharie Risacher,ATL,63,24.7,32,31,0.8,0.5,2.5,2.1,3.0,70.6
549,Zach Collins,CHI,52,14.9,25,27,0.5,0.5,2.5,1.7,2.9,57.0
550,Zach Edey,MEM,56,20.6,31,25,0.5,1.3,4.1,2.5,4.4,57.5
551,Zach LaVine,SAC,62,34.8,27,35,0.9,0.2,4.2,1.8,2.2,80.1
552,Zeke Nnaji,DEN,51,10.4,34,17,0.4,0.6,1.0,1.3,2.2,56.1
553,Ziaire Williams,BKN,54,24.8,19,35,1.0,0.4,3.7,1.5,2.3,64.8
554,Zion Williamson,NOP,29,28.6,10,19,1.2,0.9,4.8,1.6,2.5,63.9
555,Zyon Pullin,MEM,3,0.9,1,2,0.0,0.0,0.0,0.3,0.3,100
